date,zone,lon,lat,wind_speed_knots,wave_height_m,sea_surface_temp_c,visibility_km,precipitation_mm
2024-01-01,Malacca Strait,101,3,14.4,2.5,26.9,9.6,0
2024-01-01,South China Sea,110,2,15.7,3.0,26.1,10.7,14.3
2024-01-01,Java Sea West,108,-6,22.4,1.95,28.2,10.7,15.5
2024-01-01,Java Sea East,115,-5,25.4,2.74,28.8,9.1,8.9
2024-01-01,Celebes Sea,121,2,12.3,3.05,26.4,12.3,0
2024-01-01,Banda Sea,128,-5,19.5,2.34,29.9,7.3,12.0
2024-01-01,Arafura Sea,136,-7,17.6,2.34,28.3,9.7,2.6
2024-01-01,Indian Ocean South,100,-7,21.7,1.96,26.9,11.9,8.8
2024-01-02,Malacca Strait,101,3,10.1,2.67,26.8,9.2,23.7
2024-01-02,South China Sea,110,2,11.6,2.36,28.9,11.5,11.7
2024-01-02,Java Sea West,108,-6,18.6,2.69,28.7,12.9,0
2024-01-02,Java Sea East,115,-5,22.6,1.9,27.1,11.7,23.6
2024-01-02,Celebes Sea,121,2,11.3,3.22,27.6,12.9,0.5
2024-01-02,Banda Sea,128,-5,20.1,2.28,27.1,4.5,0
2024-01-02,Arafura Sea,136,-7,24.0,3.12,28.0,10.8,6.3
2024-01-02,Indian Ocean South,100,-7,18.3,1.28,27.7,12.7,8.0
2024-01-03,Malacca Strait,101,3,4.1,2.85,29.4,14.8,5.9
2024-01-03,South China Sea,110,2,10.7,2.47,28.6,12.4,10.5
2024-01-03,Java Sea West,108,-6,26.9,2.01,27.1,8.1,5.0
2024-01-03,Java Sea East,115,-5,21.7,2.69,28.6,8.7,2.1
2024-01-03,Celebes Sea,121,2,7.9,2.52,28.1,12.7,5.0
2024-01-03,Banda Sea,128,-5,25.6,1.26,29.3,9.6,7.6
2024-01-03,Arafura Sea,136,-7,23.2,2.78,27.9,14.6,10.7
2024-01-03,Indian Ocean South,100,-7,24.4,2.89,28.2,9.4,21.2
2024-01-04,Malacca Strait,101,3,12.9,2.5,28.9,10.8,11.6
2024-01-04,South China Sea,110,2,11.1,2.73,28.1,11.6,8.9
2024-01-04,Java Sea West,108,-6,19.2,1.89,26.9,13.8,9.9
2024-01-04,Java Sea East,115,-5,24.9,1.51,26.3,10.3,16.9
2024-01-04,Celebes Sea,121,2,17.7,2.34,28.3,4.8,7.4
2024-01-04,Banda Sea,128,-5,20.5,2.84,27.7,7.0,9.1
2024-01-04,Arafura Sea,136,-7,18.0,1.83,26.4,7.8,9.2
2024-01-04,Indian Ocean South,100,-7,22.0,2.99,27.8,7.9,8.0
2024-01-05,Malacca Strait,101,3,14.9,1.72,29.4,9.1,4.2
2024-01-05,South China Sea,110,2,17.1,2.32,29.7,11.1,1.1
2024-01-05,Java Sea West,108,-6,21.7,2.52,26.2,3.7,21.0
2024-01-05,Java Sea East,115,-5,20.7,1.57,27.7,19.5,0
2024-01-05,Celebes Sea,121,2,12.7,2.16,27.2,13.9,2.9
2024-01-05,Banda Sea,128,-5,20.0,2.21,28.3,4.1,4.7
2024-01-05,Arafura Sea,136,-7,23.2,1.71,26.7,6.3,0
2024-01-05,Indian Ocean South,100,-7,26.6,2.28,27.0,6.5,0
2024-01-06,Malacca Strait,101,3,8.8,1.95,29.7,11.3,17.2
2024-01-06,South China Sea,110,2,9.4,2.13,27.2,8.0,17.2
2024-01-06,Java Sea West,108,-6,10.6,1.89,30.0,11.9,7.5
2024-01-06,Java Sea East,115,-5,25.7,1.65,29.5,8.8,8.4
2024-01-06,Celebes Sea,121,2,11.8,2.36,29.9,9.8,4.2
2024-01-06,Banda Sea,128,-5,18.6,3.15,29.8,11.0,8.0
2024-01-06,Arafura Sea,136,-7,19.7,1.58,28.4,9.6,0
2024-01-06,Indian Ocean South,100,-7,21.7,2.8,29.6,10.7,2.1
2024-01-07,Malacca Strait,101,3,12.0,2.16,29.1,8.5,0.3
2024-01-07,South China Sea,110,2,10.0,2.51,26.0,15.5,12.5
2024-01-07,Java Sea West,108,-6,15.5,2.7,28.3,10.9,8.3
2024-01-07,Java Sea East,115,-5,24.3,1.65,29.4,11.7,1.7
2024-01-07,Celebes Sea,121,2,17.2,2.19,29.5,6.5,11.2
2024-01-07,Banda Sea,128,-5,25.4,1.48,29.9,12.3,0
2024-01-07,Arafura Sea,136,-7,21.8,1.27,29.7,11.9,0
2024-01-07,Indian Ocean South,100,-7,21.4,3.24,26.4,14.1,0
2024-01-08,Malacca Strait,101,3,13.4,1.53,27.2,10.6,0
2024-01-08,South China Sea,110,2,13.9,1.79,29.5,12.4,3.7
2024-01-08,Java Sea West,108,-6,14.2,2.96,28.1,11.4,3.5
2024-01-08,Java Sea East,115,-5,23.3,3.65,27.1,12.5,10.4
2024-01-08,Celebes Sea,121,2,11.4,2.97,28.0,7.0,11.9
2024-01-08,Banda Sea,128,-5,20.0,1.87,29.7,5.4,1.9
2024-01-08,Arafura Sea,136,-7,20.6,2.36,26.3,8.6,0
2024-01-08,Indian Ocean South,100,-7,24.8,1.58,27.2,8.9,12.6
2024-01-09,Malacca Strait,101,3,11.6,2.25,27.7,14.2,0.6
2024-01-09,South China Sea,110,2,11.1,2.69,28.2,12.5,5.0
2024-01-09,Java Sea West,108,-6,17.2,1.93,27.9,8.1,7.0
2024-01-09,Java Sea East,115,-5,24.4,1.9,26.7,13.1,9.9
2024-01-09,Celebes Sea,121,2,10.2,2.93,29.0,9.0,0
2024-01-09,Banda Sea,128,-5,22.2,1.83,27.9,10.7,2.5
2024-01-09,Arafura Sea,136,-7,20.6,1.98,28.8,7.8,5.2
2024-01-09,Indian Ocean South,100,-7,27.0,2.5,29.1,12.5,10.2
2024-01-10,Malacca Strait,101,3,15.5,1.67,26.2,10.0,20.5
2024-01-10,South China Sea,110,2,14.4,1.76,30.0,3.9,0
2024-01-10,Java Sea West,108,-6,17.4,2.53,28.0,11.8,0
2024-01-10,Java Sea East,115,-5,19.9,2.51,27.0,10.1,16.4
2024-01-10,Celebes Sea,121,2,8.8,2.59,27.1,12.2,8.1
2024-01-10,Banda Sea,128,-5,18.4,2.25,26.6,10.5,17.2
2024-01-10,Arafura Sea,136,-7,24.8,2.68,28.2,8.2,7.7
2024-01-10,Indian Ocean South,100,-7,25.3,1.91,28.8,13.2,0
2024-01-11,Malacca Strait,101,3,14.8,2.08,29.0,14.5,0
2024-01-11,South China Sea,110,2,12.9,1.75,28.4,10.4,10.5
2024-01-11,Java Sea West,108,-6,23.7,2.2,28.7,8.5,7.7
2024-01-11,Java Sea East,115,-5,22.9,2.5,26.1,7.0,11.4
2024-01-11,Celebes Sea,121,2,12.0,1.41,27.8,12.8,7.4
2024-01-11,Banda Sea,128,-5,17.6,2.27,27.5,10.1,0
2024-01-11,Arafura Sea,136,-7,22.5,1.91,28.2,12.8,5.0
2024-01-11,Indian Ocean South,100,-7,22.8,2.05,29.0,11.9,3.3
2024-01-12,Malacca Strait,101,3,12.9,1.66,28.7,8.1,2.8
2024-01-12,South China Sea,110,2,13.2,2.37,28.4,10.0,1.1
2024-01-12,Java Sea West,108,-6,22.4,2.7,26.1,8.3,16.1
2024-01-12,Java Sea East,115,-5,16.2,3.22,26.3,8.5,0
2024-01-12,Celebes Sea,121,2,13.8,1.07,28.4,16.2,20.8
2024-01-12,Banda Sea,128,-5,18.2,2.93,27.5,7.3,4.7
2024-01-12,Arafura Sea,136,-7,22.6,2.65,29.8,6.3,0
2024-01-12,Indian Ocean South,100,-7,17.5,2.75,29.9,9.3,19.4
2024-01-13,Malacca Strait,101,3,8.8,2.34,28.9,9.3,20.5
2024-01-13,South China Sea,110,2,18.3,3.07,27.0,6.0,7.4
2024-01-13,Java Sea West,108,-6,26.8,2.17,26.7,11.3,18.9
2024-01-13,Java Sea East,115,-5,23.4,1.69,27.1,17.3,6.2
2024-01-13,Celebes Sea,121,2,12.4,1.29,29.0,8.4,0
2024-01-13,Banda Sea,128,-5,20.4,2.11,26.9,9.1,0
2024-01-13,Arafura Sea,136,-7,18.4,2.43,27.7,9.9,0
2024-01-13,Indian Ocean South,100,-7,21.7,2.78,26.5,10.5,8.8
2024-01-14,Malacca Strait,101,3,12.1,2.11,26.9,5.2,6.3
2024-01-14,South China Sea,110,2,10.6,2.93,26.4,10.7,10.4
2024-01-14,Java Sea West,108,-6,24.7,1.8,27.1,13.8,3.4
2024-01-14,Java Sea East,115,-5,24.2,2.98,28.0,12.7,0
2024-01-14,Celebes Sea,121,2,11.2,2.27,26.2,13.2,1.7
2024-01-14,Banda Sea,128,-5,19.0,2.8,28.5,11.6,6.5
2024-01-14,Arafura Sea,136,-7,18.8,3.25,26.5,10.4,0
2024-01-14,Indian Ocean South,100,-7,22.6,3.05,27.8,4.4,10.6
2024-01-15,Malacca Strait,101,3,10.6,3.38,28.4,9.5,0
2024-01-15,South China Sea,110,2,14.1,2.24,26.6,10.5,7.8
2024-01-15,Java Sea West,108,-6,17.2,1.63,27.2,10.5,17.4
2024-01-15,Java Sea East,115,-5,15.6,2.68,29.7,11.0,0
2024-01-15,Celebes Sea,121,2,15.9,2.36,28.2,6.1,0
2024-01-15,Banda Sea,128,-5,21.6,2.82,27.2,10.0,0
2024-01-15,Arafura Sea,136,-7,25.3,2.26,28.8,13.3,1.7
2024-01-15,Indian Ocean South,100,-7,22.7,2.28,27.7,9.0,10.5
2024-01-16,Malacca Strait,101,3,17.5,1.5,28.3,21.3,0
2024-01-16,South China Sea,110,2,12.9,2.59,29.0,5.7,7.1
2024-01-16,Java Sea West,108,-6,22.7,3.24,28.5,8.7,5.2
2024-01-16,Java Sea East,115,-5,17.8,2.41,29.4,7.8,15.8
2024-01-16,Celebes Sea,121,2,18.2,1.75,28.2,7.5,6.9
2024-01-16,Banda Sea,128,-5,23.0,1.93,28.1,14.4,4.1
2024-01-16,Arafura Sea,136,-7,20.3,2.41,27.4,10.2,0
2024-01-16,Indian Ocean South,100,-7,23.1,3.0,29.7,5.7,9.7
2024-01-17,Malacca Strait,101,3,16.1,1.61,27.0,12.1,13.5
2024-01-17,South China Sea,110,2,20.8,2.85,29.7,8.5,6.0
2024-01-17,Java Sea West,108,-6,16.2,2.75,28.0,9.2,20.0
2024-01-17,Java Sea East,115,-5,20.1,3.35,27.5,13.2,0.5
2024-01-17,Celebes Sea,121,2,14.6,2.64,29.2,4.0,14.5
2024-01-17,Banda Sea,128,-5,21.0,2.04,27.2,1,0
2024-01-17,Arafura Sea,136,-7,24.2,2.53,27.4,6.4,1.8
2024-01-17,Indian Ocean South,100,-7,21.2,2.36,28.8,8.0,2.5
2024-01-18,Malacca Strait,101,3,16.8,2.8,28.8,11.1,0
2024-01-18,South China Sea,110,2,16.6,1.73,28.0,13.4,7.2
2024-01-18,Java Sea West,108,-6,25.2,1.94,27.8,6.7,3.6
2024-01-18,Java Sea East,115,-5,16.3,2.82,26.6,2.2,9.0
2024-01-18,Celebes Sea,121,2,11.5,1.6,29.4,13.6,0
2024-01-18,Banda Sea,128,-5,18.1,2.51,29.0,10.6,3.4
2024-01-18,Arafura Sea,136,-7,17.4,1.11,30.0,9.9,0
2024-01-18,Indian Ocean South,100,-7,17.9,1.19,27.8,7.8,0
2024-01-19,Malacca Strait,101,3,12.7,1.33,27.5,12.3,12.8
2024-01-19,South China Sea,110,2,13.5,2.17,26.3,12.9,0
2024-01-19,Java Sea West,108,-6,22.4,1.77,27.8,9.9,11.1
2024-01-19,Java Sea East,115,-5,22.2,0.91,28.7,11.8,12.2
2024-01-19,Celebes Sea,121,2,9.3,1.79,27.7,10.0,20.5
2024-01-19,Banda Sea,128,-5,17.4,2.03,26.9,6.5,0.4
2024-01-19,Arafura Sea,136,-7,19.7,3.78,28.6,9.4,15.2
2024-01-19,Indian Ocean South,100,-7,22.0,2.43,28.4,3.5,5.4
2024-01-20,Malacca Strait,101,3,13.2,1.54,27.4,7.3,0
2024-01-20,South China Sea,110,2,12.2,2.08,29.4,5.5,0
2024-01-20,Java Sea West,108,-6,19.8,2.77,28.3,9.9,1.5
2024-01-20,Java Sea East,115,-5,20.0,1.76,26.5,2.2,0
2024-01-20,Celebes Sea,121,2,17.8,2.0,27.0,11.6,0
2024-01-20,Banda Sea,128,-5,19.9,2.44,26.5,11.6,4.0
2024-01-20,Arafura Sea,136,-7,25.1,2.58,29.9,15.3,2.0
2024-01-20,Indian Ocean South,100,-7,22.1,2.0,28.1,5.7,8.4
2024-01-21,Malacca Strait,101,3,7.2,2.23,29.8,11.7,8.7
