id,date_gmt,time_gmt,lon,lat,quality_flag,radiance,zone
1,20240405,2347,119.1251,-0.3498,1,44.663,Celebes Sea
2,20240408,1635,110.9535,-6.9106,2,10.342,Java Sea
3,20241009,0010,121.7247,-0.6774,3,35.058,Celebes Sea
4,20240604,0222,100.6219,3.8716,1,42.451,Malacca Strait
5,20240904,1218,123.0356,2.3784,1,41.556,Celebes Sea
6,20241203,0149,123.3085,1.4641,2,14.825,Celebes Sea
7,20240515,2010,109.6295,-6.697,8,18.824,Java Sea
8,20241103,1934,109.8688,-4.19,2,36.592,Java Sea
9,20241123,1720,110.6562,-4.0314,1,42.221,Java Sea
10,20240613,0858,134.6033,-8.8716,1,47.174,Arafura Sea
11,20240721,1408,110.8321,0.9326,1,12.708,South China Sea
12,20241013,1108,120.3137,1.5075,1,25.722,Celebes Sea
13,20241106,2104,108.3298,-6.6711,1,19.546,Java Sea
14,20240928,0007,121.3402,-0.4915,2,34.245,Celebes Sea
15,20240210,1300,120.3341,1.8458,1,47.714,Celebes Sea
16,20240317,0319,110.3705,0.0035,8,42.163,South China Sea
17,20240318,1638,119.9946,0.2435,8,16.546,Celebes Sea
18,20240508,0136,114.5037,-4.3638,1,47.374,Java Sea
19,20240925,0430,111.4019,-6.7924,1,47.369,Java Sea
20,20240418,2345,111.6937,-5.1802,2,15.93,Java Sea
21,20240915,0304,102.199,-6.8095,1,17.235,Indian Ocean
22,20240223,2004,120.1506,-0.6787,1,45.318,Celebes Sea
23,20241116,0646,108.6377,-1.572,2,46.808,South China Sea
24,20240707,0327,121.3634,2.7077,1,18.038,Celebes Sea
25,20241121,0346,103.4553,1.1625,1,17.295,Malacca Strait
26,20240805,1329,110.2379,-1.8587,1,12.865,South China Sea
27,20240904,0134,100.545,-4.6933,2,41.883,Indian Ocean
28,20240314,1555,104.4109,-4.7565,1,20.351,Indian Ocean
29,20240526,1444,110.6528,-4.0441,1,47.887,Java Sea
30,20240307,0903,101.4461,-5.408,1,29.169,Indian Ocean
31,20241016,1633,122.7399,-1.657,8,8.293,Celebes Sea
32,20241003,2125,97.6409,-8.0709,8,6.434,Indian Ocean
33,20241003,1336,110.2159,0.5671,2,26.378,South China Sea
34,20240409,1241,98.6341,-5.419,1,15.35,Indian Ocean
35,20240820,1804,103.0075,1.2176,10,27.113,Malacca Strait
36,20240208,1128,119.6623,0.0941,1,41.77,Celebes Sea
37,20241117,0035,137.2817,-5.0511,2,15.319,Arafura Sea
38,20240204,2317,139.5725,-8.4628,2,14.447,Arafura Sea
39,20240517,1558,110.4002,-4.9375,1,42.382,Java Sea
40,20240111,0416,110.965,-6.17,2,8.498,Java Sea
41,20240203,2234,102.8227,2.6827,8,2.283,Malacca Strait
42,20240110,1150,102.2101,2.2894,8,48.624,Malacca Strait
43,20241104,1156,110.5047,-4.9538,3,43.798,Java Sea
44,20240428,0551,102.9958,-4.3712,10,9.264,Indian Ocean
45,20240726,2151,100.7174,3.7735,8,12.784,Malacca Strait
46,20240128,1552,112.9089,-5.8524,1,45.963,Java Sea
47,20240401,2121,103.2821,3.614,1,14.291,Malacca Strait
48,20240913,2134,113.4133,-5.9466,10,16.892,Java Sea
49,20241009,0127,114.1393,-6.2164,1,17.612,Java Sea
50,20240213,1802,136.0548,-5.0631,1,35.585,Arafura Sea
51,20241224,2323,114.479,-5.3846,2,21.849,Java Sea
52,20241128,0319,104.3662,-5.8842,3,25.603,Indian Ocean
53,20240905,0624,135.2833,-6.2112,1,34.027,Arafura Sea
54,20240927,0013,101.9241,-7.4953,1,21.779,Indian Ocean
55,20240822,0650,122.2735,0.7899,2,45.108,Celebes Sea
56,20240922,2005,134.1878,-8.6608,2,41.012,Arafura Sea
57,20240405,0030,137.7096,-8.1014,1,30.758,Arafura Sea
58,20241007,2231,136.1879,-5.4555,2,20.283,Arafura Sea
59,20240225,1351,112.8134,-4.322,1,47.919,Java Sea
60,20240215,0442,119.2511,-0.5048,8,26.791,Celebes Sea
61,20240820,2327,120.5865,2.5315,8,41.613,Celebes Sea
62,20240815,0853,123.486,2.4619,3,32.064,Celebes Sea
63,20240515,0215,136.6491,-6.493,3,13.95,Arafura Sea
64,20240413,2213,102.1606,1.4151,1,3.679,Malacca Strait
65,20240427,1349,102.1704,2.2473,1,29.412,Malacca Strait
66,20240716,0019,138.9971,-5.9376,8,37.797,Arafura Sea
